0,0,0,0,0
0.757,394,241,1188,4048
0.819,680,659,1150,7495
0.772,1957,1677,597,5736
0.827,2237,1180,521,5904
0.87,2357,530,744,6170
0.773,1393,600,1601,6089
0.767,754,561,1662,6582
0.716,720,1464,1332,6336
0.772,819,1682,527,6664
0.816,1791,1296,507,6205
0.811,894,1109,753,7083
0.778,842,513,1706,6928
0.748,300,1140,1337,7066
0.677,1586,1689,1484,5076
0.819,2878,1023,761,5211
0.575,2263,2969,1241,3431
0.481,2437,3347,1587,2142
0.665,4359,1686,1552,2062
0.669,4512,2117,965,1725
0.834,5987,1033,463,1547
0.834,3950,818,264,1481
0.838,1502,287,397,2029
0.65,710,92,1186,1667
0.749,92,47,678,2071
0.726,323,183,822,2335
0.758,1065,227,915,2514
0.689,1272,142,1345,2027
0.57,668,386,1412,1713
0.721,744,251,1078,2695
0.738,1166,51,1693,3743
0.672,1058,0,2004,3055
0.673,1275,19,2035,2957
0.619,1060,243,2058,2677
0.545,533,125,2312,2383
0.596,606,10,2114,2533
0.723,679,116,1674,3984
0.713,961,500,1217,3314
0.701,1442,652,1313,3166
0.625,1601,640,2199,3132
0.591,2344,594,2217,1717
0.715,3143,305,1804,2145
0.795,3433,234,1457,3122
0.699,3700,553,1738,1614
0.627,4041,1275,2020,1493
0.781,5439,1272,600,1238
0.701,4821,2019,427,922
0.452,2262,4220,369,1520
0.556,3049,2864,817,1554
0.536,3080,1916,1881,1310
0.607,3819,1653,1569,1159
0.747,5220,1251,811,867
0.647,5222,2200,898,448
0.644,5226,2706,288,181
0.587,3602,2939,60,652
0.711,2606,1976,365,3164
0.8,729,128,1036,3940
0.521,0,0,636,692
0.439,672,599,1511,981
0.672,772,605,1471,3485
0.817,377,352,1474,7795
0.844,1137,167,1389,7298
0.873,1532,0,1259,7150
0.845,1348,0,1537,7019
0.756,850,23,2396,6645
0.756,50,0,2393,7355
0.794,9,0,2040,7860
0.849,11,158,1329,8336
0.789,391,128,1961,7423
0.887,608,167,955,8198
0.793,778,241,1830,7151
0.79,148,571,1516,7719
0.705,862,1026,1896,6118
0.743,1688,511,2028,5656
0.627,1695,1779,1935,4558
0.458,1747,3218,2097,2740
0.62,4194,1933,1777,1847
0.657,4456,2031,1241,1822
0.8,5967,1485,381,1510
0.835,4349,1083,340,2870
0.859,1909,450,374,3119
0.772,1462,402,816,2664
0.74,268,217,1045,3318
0.738,503,450,870,3216
0.721,1153,384,1145,2801
0.679,1328,202,1471,2215
0.581,814,498,1382,1794
0.684,1196,681,966,2369
0.715,1674,565,1444,3369
0.704,2082,732,1399,2991
0.719,2263,679,1323,2866
0.741,2508,882,827,2382
0.667,2044,970,1023,1945
0.71,2342,937,667,1592
0.629,1556,1519,865,2486
0.567,1423,1818,933,2175
0.646,1945,1574,773,2329
0.758,3120,933,996,2936
0.678,3739,1136,1440,1685
0.824,4803,559,904,2051
0.841,4335,507,896,3075
0.802,4774,574,1045,1795
0.686,4810,1416,1456,1474
0.76,5629,1606,522,1112
0.7,5157,2104,461,842
0.461,2390,4079,433,1462
0.544,3115,3231,610,1469
0.534,3296,2148,1770,1188
0.575,3653,1879,1629,1100
0.751,5178,1206,833,970
0.642,5129,2164,952,470
0.646,5259,2563,451,241
0.576,3773,2965,72,345
0.727,2597,2109,175,3476
0.748,975,289,1231,3527
0.692,0,0,513,1154
0.421,468,507,1372,900
0.629,977,707,1531,2825
0.812,338,318,1562,7782
0.84,1113,296,1302,7280
0.868,1599,0,1318,7046
0.858,1264,0,1409,7231
0.754,1016,23,2408,6452
0.758,76,0,2375,7369
0.789,10,0,2083,7796
0.852,15,155,1301,8394
0.785,355,126,1998,7409
0.899,801,219,785,8125
0.792,762,305,1777,7156
0.789,262,658,1447,7591
0.715,882,1270,1556,6206
0.758,1941,534,1845,5530
0.646,1872,1744,1790,4571
0.462,1817,3491,1788,2721
0.598,4134,2117,1807,1713
0.664,4600,1997,1227,1775
0.78,5777,1718,328,1488
0.822,4714,1241,359,2673
0.872,2097,427,373,3337
0.795,1561,430,719,2889
0.724,362,244,1182,3385
0.729,461,527,837,3215
0.681,1110,576,1208,2700
0.697,1366,195,1422,2360
0.582,805,487,1476,1925
0.679,1277,755,892,2210
0.661,1621,1033,1298,2929
0.681,2286,988,1403,2830
0.709,2475,945,1172,2675
0.727,2658,1123,740,2291
0.661,2199,1230,830,1822
0.679,2362,1074,701,1395
0.611,1636,1590,850,2202
0.51,1362,2201,1049,2024
0.619,1897,1693,774,2106
0.75,3113,1018,986,2887
0.675,3705,1202,1460,1818
0.832,5050,587,834,1996
0.828,4553,768,766,2807
0.835,4908,509,865,2028
0.698,4948,1370,1426,1500
0.757,5674,1641,533,1081
0.702,5231,2119,443,809
0.486,2682,3842,461,1379
0.544,3093,3486,399,1551
0.535,3343,2153,1789,1186
0.549,3448,2043,1679,1085
0.755,5133,1175,835,1068
0.642,5120,2160,957,476
0.655,5361,2427,545,287
0.605,4148,2696,109,146
0.705,2414,2442,37,3500
0.702,1195,528,1358,3243
0.76,0,0,519,1642
0.431,406,452,1221,862
0.583,1039,768,1471,2089
0.815,252,180,1673,7894
0.83,1088,482,1221,7201
0.86,1531,0,1395,7044
0.873,1330,0,1255,7331
0.752,1143,23,2433,6289
0.76,120,0,2362,7359
0.79,2,0,2074,7791
0.849,17,141,1353,8401
0.784,311,131,1998,7414
0.905,933,235,707,8049
0.785,677,392,1753,7176
0.788,364,691,1420,7498
0.716,824,1427,1387,6267
0.763,2099,615,1728,5424
0.671,2004,1622,1653,4681
0.46,1812,3663,1636,2710
0.584,3995,2267,1794,1709
0.662,4692,1938,1326,1687
0.761,5552,1898,332,1556
0.817,5034,1291,384,2428
0.876,2305,470,343,3448
0.807,1588,472,644,3064
0.723,490,228,1255,3378
0.731,457,531,831,3246
0.659,1028,673,1222,2627
0.717,1435,171,1398,2541
0.58,747,462,1488,1950
0.664,1225,785,906,2113
0.66,1648,1150,1139,2802
0.666,2375,1055,1471,2659
0.706,2411,1010,1165,2810
0.73,2759,1146,709,2258
0.652,2239,1375,806,1846
0.658,2387,1131,750,1233
0.628,1733,1539,769,2168
0.478,1303,2358,1136,1896
0.62,1765,1687,721,2170
0.734,3046,1056,1081,2854
0.668,3590,1317,1407,1886
0.829,5239,577,883,1854
0.815,4559,944,699,2662
0.846,4937,490,820,2255
0.711,5011,1188,1456,1481
0.752,5670,1698,537,1093
0.704,5260,2129,417,806
0.517,3016,3582,485,1329
0.543,2984,3713,174,1632
0.534,3426,2162,1849,1171
0.526,3266,2166,1717,1051
0.75,5027,1176,884,1165
0.647,5107,2126,935,500
0.659,5419,2319,642,301
0.613,4328,2604,147,25
0.686,2512,2592,28,3218
0.683,1392,784,1346,3207
0.797,0,0,533,2098
0.431,321,379,1102,802
0.525,1125,842,1400,1351
0.815,196,85,1763,7943
0.819,1027,620,1190,7155
0.858,1512,0,1418,7050
0.887,1342,0,1125,7451
0.754,1236,23,2408,6208
0.753,173,1,2437,7249
0.796,4,0,2011,7835
0.842,16,125,1447,8358
0.783,257,141,1990,7440
0.906,943,258,678,8035
0.79,678,392,1703,7225
0.789,448,683,1422,7435
0.71,689,1520,1350,6340
0.762,2175,709,1639,5333
0.697,2085,1515,1499,4862
0.465,1821,3626,1632,2749
0.568,3821,2411,1810,1738
0.667,4771,1908,1318,1680
0.734,5289,2086,406,1590
0.821,5371,1259,394,2219
0.864,2494,589,338,3417
0.83,1604,451,543,3260
0.71,610,239,1345,3269
0.746,422,510,792,3412
0.641,923,730,1218,2560
0.727,1495,194,1371,2672
0.582,754,410,1506,1909
0.651,1230,800,970,2072
0.66,1622,1152,1060,2668
0.65,2313,1133,1545,2650
0.712,2467,1060,1088,2841
0.73,2753,1124,768,2356
0.653,2244,1399,741,1789
0.65,2452,1191,785,1221
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Total average,,0.704873563,
,One cycle average,,0.704864407,
,First cycle ,,0.689157895,
,,,,
,,,,
,,58,,